Electricity_Usage_kWh,Car_Travel_km_per_week,Flights_per_year,Meat_Consumption_kg_per_week,Carbon_Footprint
101,246,6,3.8636192216019043,438.336192216019
145,25,7,0.6650744130076905,434.15074413007693
437,12,9,1.6359662495480933,687.2596624954809
271,35,8,3.710073136480486,579.6007313648049
456,172,1,4.528430769592397,357.68430769592396
280,19,9,2.8025484895204977,621.8254848952049
286,263,1,2.8945106836939205,274.5451068369392
192,141,4,0.9822740510289922,334.0227405102899
220,142,4,2.513355650705546,363.53355650705544
78,91,5,2.8967776990476044,336.16777699047606
85,287,2,1.5911172663562834,215.81117266356284
62,214,7,1.7115945392722143,440.91594539272216
209,50,0,2.197778733970802,136.47778733970802
376,152,5,0.5903203899997687,474.30320389999764
236,185,3,1.9493562451243023,324.493562451243
292,62,0,1.4515160314844509,172.9151603148445
135,189,6,1.9737380848006159,425.0373808480062
333,124,8,1.0389295931866305,601.6892959318662
115,149,3,4.507372763329528,282.3737276332953
219,57,3,3.171166040993219,302.61166040993214
94,179,5,3.5559604361502033,368.359604361502
111,169,2,4.051270573733023,229.81270573733025
490,270,5,2.7429898951807576,576.4298989518076
183,53,6,0.8911412963934067,411.0114129639341
333,100,9,2.916979438183465,665.6697943818347
77,263,9,3.140785031093956,572.5078503109396
157,52,2,3.854477633829485,227.44477633829484
